B, F1, F2, H, B, H1, H2, F, comm_cost, num_nodes, mem_cost
4,1,1,4,4,1,1,4,41943040.0,32,52428800.0
2,1,1,8,4,1,1,4,47185920.0,32,60293120.0
4,1,1,4,2,1,1,8,47185920.0,32,60293120.0
4,1,1,4,8,1,1,2,50331648.0,32,49283072.0
8,1,1,2,4,1,1,4,50331648.0,32,49283072.0
2,1,1,8,2,1,1,8,52428800.0,32,68157440.0
4,1,1,2,4,1,1,4,54525952.0,24,70254592.0
4,1,1,4,4,1,1,2,54525952.0,24,70254592.0
2,1,1,8,8,1,1,2,55574528.0,32,57147392.0
8,1,1,2,2,1,1,8,55574528.0,32,57147392.0
2,1,1,4,4,1,1,4,56623104.0,24,77594624.0
4,1,1,4,2,1,1,4,56623104.0,24,77594624.0
8,1,1,2,8,1,1,2,58720256.0,32,46137344.0
2,1,1,8,4,1,1,2,59768832.0,24,78118912.0
4,1,1,2,2,1,1,8,59768832.0,24,78118912.0
2,1,1,4,2,1,1,8,61865984.0,24,85458944.0
2,1,1,8,2,1,1,4,61865984.0,24,85458944.0
1,1,1,16,4,1,1,4,62914560.0,32,76808192.0
4,1,1,2,8,1,1,2,62914560.0,24,67108864.0
4,1,1,4,1,1,1,16,62914560.0,32,76808192.0
8,1,1,2,4,1,1,2,62914560.0,24,67108864.0
2,1,1,4,8,1,1,2,65011712.0,24,74448896.0
8,1,1,2,2,1,1,4,65011712.0,24,74448896.0
4,1,1,2,4,1,1,2,67108864.0,16,88080384.0
1,1,1,16,2,1,1,8,68157440.0,32,84672512.0
2,1,1,8,1,1,1,16,68157440.0,32,84672512.0
2,1,1,4,4,1,1,2,69206016.0,16,95420416.0
4,1,1,2,2,1,1,4,69206016.0,16,95420416.0
1,1,1,8,4,1,1,4,71303168.0,24,93847552.0
1,1,1,16,8,1,1,2,71303168.0,32,73662464.0
2,1,1,4,2,1,1,4,71303168.0,16,102760448.0
4,1,1,4,1,1,1,8,71303168.0,24,93847552.0
8,1,1,2,1,1,1,16,71303168.0,32,73662464.0
1,1,1,16,4,1,1,2,75497472.0,24,94633984.0
2,1,1,2,4,1,1,4,75497472.0,20,112197632.0
4,1,1,2,1,1,1,16,75497472.0,24,94633984.0
4,1,1,4,2,1,1,2,75497472.0,20,112197632.0
4,1,1,4,8,1,1,1,75497472.0,24,68157440.0
8,1,1,1,4,1,1,4,75497472.0,24,68157440.0
1,1,1,8,2,1,1,8,76546048.0,24,101711872.0
2,1,1,8,1,1,1,8,76546048.0,24,101711872.0
